id,text
pubmedqa_811,"To determine whether prostate morphology or technique used has any effect on postoperative outcomes after holmium laser enucleation of the prostate. A retrospective review of prospectively collected data was completed for all patients undergoing a holmium laser enucleation of the prostate at our institution. Prostate morphology was classified as either ""OTHER_2"" or ""OTHER_5"" according to the cystoscopic appearance. The baseline characteristics, complications, and postoperative outcomes were collected. A total of OTHER_1 patients with either ""OTHER_2"" (n = OTHER_3) or ""OTHER_5"" (n = OTHER_4) prostate morphology were included. The OTHER_5 group was more likely to have longer operative times (NUMERIC_1 vs NUMERIC_2 minutes, P = .NUMERIC_3), although this difference was not significant on multivariate analysis. The postoperative outcomes were similar between the NUMERIC_4 groups for OTHER_6 Urological Association symptom score, change in OTHER_6 Urological Association symptom score, bother score, maximal flow rate, change in maximal flow rate, postvoid residual urine volume, and complication rate. However, the OTHER_5 group had a significantly greater decrease in their OTHER_7 urine volume (OTHER_8 vs OTHER_9 mL, P = .NUMERIC_5), a difference that persisted on multivariate analysis. A subset analysis of the OTHER_5 prostates revealed that performing a NUMERIC_4-lobe technique achieved shorter operative and enucleation times, although the difference was not significant."
pubmedqa_76,"Deaths from injury and poisoning (suicide, accidents, undetermined deaths, and homicide) are the major cause of death among young men aged AGE_1 years in England and Wales and have been increasing in recent years.AIM: To describe common characteristics among young men who die from injury and poisoning. We employed a retrospective survey methodology to investigate factors associated with deaths by injury and poisoning among young men aged AGE_1 years (n = OTHER_1) in LOCATION_1 and Cheshire during DATE_1. Data were collected from Coroner's inquest notes and General Practitioner records. The most common cause of death was poisoning by alcohol and drugs (NUMERIC_1%, n = OTHER_2). A high proportion of cases were unemployed (NUMERIC_2%, n = OTHER_3). Cases were also more likely to be single compared to the general population (NUMERIC_3% vs NUMERIC_4%). Self-destructive behaviour was evident in OTHER_4% of deaths (n = OTHER_5)."
pubmedqa_636,"Home blood pressure (BP) monitoring is gaining increasing popularity among patients and DATE_1 be useful in hypertension management. Little is known about the reliability of stroke patients' records of home BP monitoring. To assess the reliability of home BP recording in hypertensive patients who had suffered a recent stroke or transient ischaemic attack. OTHER_1 stroke patients (mean age AGE_1 years) randomized to the intervention arm of a trial of home BP monitoring were included. Following instruction by a research nurse, patients recorded their BPs at home and documented them in a booklet over the next year. The booklet readings over a month were compared with the actual readings downloaded from the BP monitor and were checked for errors or selective bias in recording. A total of OTHER_2 monitor and OTHER_3 booklet readings were recorded. Ninety per cent of booklet recordings were exactly the same as the BP monitor readings. Average booklet readings were OTHER_4 mmHg systolic [NUMERIC_1% confidence interval (NUMERIC_1% CI) -OTHER_4 to NUMERIC_2] and OTHER_5 mmHg diastolic (NUMERIC_1% CI -OTHER_5 to NUMERIC_3) lower than those on the monitor."
pubmedqa_973,"We have reported previously that cerulein-induced edematous pancreatitis would transform into hemorrhagic pancreatitis by administration of endothelin-NUMERIC_1 in rats. In the present study, we tried to protect rat model from developing into hemorrhagic pancreatitis with BQ123 (an ETA receptor antagonist). The rat model was made by TIME_1 restraint water-immersion stress and NUMERIC_1 intraperitoneal injections of cerulein (NUMERIC_2 micrograms/kg) at hourly interval. BQ123 (NUMERIC_3 or NUMERIC_4 mg/kg) was administered intravenously TIME_2 minutes before and NUMERIC_5 hours after the first cerulein injection. Acute hemorrhagic pancreatitis was induced in all rats treated with cerulin + stress. The score for pancreatic hemorrhage was NUMERIC_6 +/- NUMERIC_7 in this group. In the rats pretreated with BQ123, the score was reduced to NUMERIC_8 +/- NUMERIC_9, pancreas wet weight and serum amylase activity were significantly reduced, and histologic alterations in the pancreas lightened, also the local pancreatic blood flow improved without affecting the systemic blood pressure."
pubmedqa_938,"Hyperleptinemia and oxidative stress play a major role in the development of cardiovascular diseases in obesity. This study aimed to investigate whether there is a relationship between plasma levels of OTHER_1 and OTHER_2 nicotinamide adenine dinucleotide phosphate (OTHER_5) oxidase activity, and its potential relevance in the vascular remodeling in obese patients. The study was performed in OTHER_3 obese and OTHER_4 normal-weight individuals (controls). OTHER_5 oxidase activity was evaluated by luminescence in OTHER_2 cells. Levels of OTHER_1 were quantified by ELISA in plasma samples. Carotid intima-media thickness (OTHER_7) was measured by ultrasonography. In addition, we performed in-vitro experiments in human peripheral blood mononuclear cells and murine macrophages. OTHER_2 OTHER_5 oxidase activity and OTHER_1 levels were enhanced (P<NUMERIC_1) in obese patients compared with controls. OTHER_5 oxidase activity positively correlated with OTHER_1 in obese patients. This association remained significant in a multivariate analysis. OTHER_7 was higher (P<NUMERIC_1) in obese patients compared with controls. In addition, OTHER_7 also correlated positively with OTHER_1 and OTHER_5 oxidase activity in obese patients. In-vitro studies showed that OTHER_1 induced OTHER_5 oxidase activation. Inhibition of the OTHER_8 OTHER_5 oxidase activity by wortmannin and bisindolyl maleimide suggested a direct involvement of the OTHER_9 NUMERIC_2-kinase and OTHER_10 kinase C pathways, respectively. Finally, OTHER_8 OTHER_5 oxidase activation promoted macrophage proliferation."
pubmedqa_899,"The purpose of this study was to investigate the outcomes that are associated with pregnancy and treated hypothyroidism. This was a retrospective cohort study of all women who received prenatal care and were delivered at the ORGANIZATION_1 of California, LOCATION_1 Francisco, between DATE_1 and DATE_2. All patients with hypothyroidism diagnosed before pregnancy or early in pregnancy were identified. Maternal, fetal, and obstetric outcomes were then collected and analyzed for women with hypothyroidism and compared with women without hypothyroidism. Among NUMERIC_1 deliveries, there were OTHER_1 women (NUMERIC_2%) who were treated for hypothyroidism during the study period. Hypothyroidism was more common among women>or =NUMERIC_3 years old, white women, and women without Medicaid insurance. Treated hypothyroidism was not associated with any increase in maternal, fetal, or neonatal complications. In addition, hypothyroidism did not affect mode of delivery."
pubmedqa_280,"Epidemiological studies have suggested inverse relationships between blood pressure and prevalence of conditions such as migraine and headache. It is not yet clear whether similar relationships can be established for back pain in particular in prospective studies. Associations between blood pressure and chronic low back pain were explored in the cross-sectional OTHER_1 NUMERIC_1 survey of a LOCATION_1 county in DATE_1, including NUMERIC_2 individuals who never used antihypertensive medication. A prospective study, comprising NUMERIC_3 initially back pain-free individuals and OTHER_2 individuals reporting low back pain, was established by re-examinations in the OTHER_1 NUMERIC_4 survey in DATE_2. Associations were assessed by logistic regression with respect to systolic, diastolic and pulse pressure, with adjustment for education, work status, physical activity, smoking, body mass and lipid levels. In the cross-sectional study, all NUMERIC_1 blood pressure measures showed inverse relationships with prevalence of low back pain in both sexes. In the prospective study of disease-free women, baseline pulse pressure and systolic pressure were inversely associated with risk of low back pain [odds ratio (OR) OTHER_3 per NUMERIC_5 mm Hg increase in pulse pressure, NUMERIC_6% confidence interval (CI) NUMERIC_7-NUMERIC_8, p = NUMERIC_9; OR NUMERIC_10 per NUMERIC_5 mm Hg increase in systolic pressure, NUMERIC_6% CI NUMERIC_11-NUMERIC_12, p = NUMERIC_13]. Results among men were equivocal. No associations were indicated with the occurrence of pain in individuals with low back pain at baseline."
pubmedqa_883,"Acute pancreatitis is the major complication of endoscopic retrograde cholangiopancreatography (ERCP) procedure and there are some reports showing cytokine changes in ERCP-induced pancreatits.GOALS: To investigate the association between early changes (within TIME_1 hours) in the serum interleukin (IL)-NUMERIC_1, IL-NUMERIC_2, tumor necrosis factor (TNF)alpha, and IL-NUMERIC_3 levels and the development of post-ERCP pancreatitis.STUDY: Forty NUMERIC_1 consecutive patients who underwent therapeutic ERCP and NUMERIC_4 patients with acute pancreatitis without ERCP were enrolled to the study. Serum concentrations of IL-NUMERIC_1, IL-NUMERIC_2, TNFalpha, and IL-NUMERIC_3 were determined immediately before, TIME_2 hours and TIME_1 hours after ERCP. NUMERIC_2 of the NUMERIC_5 patients (NUMERIC_6%) developed post-ERCP pancreatitis. The levels of IL-NUMERIC_2 at TIME_1 hours after ERCP were significantly lower in the patients with post-ERCP pancreatitis than in those without pancreatitis, while TNFalpha levels at TIME_2 hours after ERCP were higher in the complicated group than those of the uncomplicated group. The ratios of TNFalpha/IL-NUMERIC_2 at TIME_2 and TIME_1 hours after ERCP were found significantly higher in the patients with post-ERCP pancreatitis than in those without pancreatitis. IL-NUMERIC_3 in the complicated patients was found significantly increased at TIME_1 hours after ERCP."
pubmedqa_761,"Most pediatric surgeons perform oophorectomy in girls presenting with ovarian torsion in which the ovary appears necrotic. However, the adult gynecology literature suggests that many ovaries can be treated by detorsion alone. All children with ovarian torsion on the gynecology and general surgery services between DATE_1 and DATE_2 were reviewed. There were OTHER_1 torsions in OTHER_2 children. NUMERIC_1 underwent detorsion with or without ovarian cystectomy, and OTHER_3 had oophorectomy (mean age AGE_1 years in both groups). Torsion was suspected preoperatively in NUMERIC_1% of the detorsion cases and in NUMERIC_2% of the oophorectomy patients. Median time from presentation to surgery was significantly lower in the detorsion than the oophorectomy group (median TIME_1 v NUMERIC_3 hours; P =.NUMERIC_4). Postoperative complications and length of stay were similar between the NUMERIC_5 groups. Despite the ovary being judged intraoperatively as moderately to severely ischemic in OTHER_4% of the detorsion cases, follow-up sonogram or ovarian biopsy available in TIME_1 of the NUMERIC_6 cases showed normal ovary with follicular development in each case."
pubmedqa_319,"To assess the results of transsphenoidal pituitary surgery in patients with Cushing's disease over a period of TIME_1 years, and to determine if there are factors which will predict the outcome. Sixty-nine sequential patients treated surgically by a single surgeon in LOCATION_1 upon Tyne between DATE_1 and DATE_2 were identified and data from OTHER_1 of these have been analysed. Retrospective analysis of outcome measures. Patients were divided into NUMERIC_1 groups (remission, failure and relapse) depending on the late outcome of their treatment as determined at the time of analysis, i.e. AGE_1 months (median) years after surgery. Remission is defined as biochemical reversal of hypercortisolism with re-emergence of diurnal circadian rhythm, resolution of clinical features and adequate suppression on low-dose dexamethasone testing. Failure is defined as the absence of any of these features. Relapse is defined as the re-emergence of Cushing's disease more than TIME_2 year after operation. Clinical features such as weight, sex, hypertension, associated endocrine disorders and smoking, biochemical studies including preoperative and postoperative serum cortisol, urine free cortisol, serum ACTH, radiological, histological and surgical findings were assessed in relation to these NUMERIC_1 groups to determine whether any factors could reliably predict failure or relapse after treatment. Of the OTHER_1 patients included in this study, OTHER_2 (NUMERIC_1%) achieved initial remission and OTHER_3 (NUMERIC_2%) failed treatment. NUMERIC_2 patients suffered subsequent relapse (range TIME_3 months) in their condition after apparent remission, leaving a final group of OTHER_4 patients (NUMERIC_3%) in the remission group. Tumour was identified at surgery in OTHER_5 patients, of whom OTHER_6 achieved remission. In comparison, only NUMERIC_4 of NUMERIC_5 patients in whom no tumour was identified achieved remission. This difference was significant (P = NUMERIC_6). When both radiological and histological findings were positive, the likelihood of achieving remission was significantly higher than if both modalities were negative (P = NUMERIC_7). There were significant differences between remission and failure groups when NUMERIC_8- and TIME_4 postoperative serum cortisol levels (P = NUMERIC_9 and NUMERIC_10, respectively) and TIME_4 postoperative urine free cortisol levels (P = NUMERIC_11) were compared. This allowed identification of patients who failed surgical treatment in the early postoperative period. Complications of surgery included transitory DI in OTHER_3, transitory CSF leak in NUMERIC_12 and transitory nasal discharge and cacosmia in NUMERIC_4. NUMERIC_3 of OTHER_4 patients required some form of hormonal replacement therapy despite achieving long-term remission. NUMERIC_4 patients underwent a second operation, of whom NUMERIC_13 achieved remission."
pubmedqa_549,"The aim of the study was to evaluate the outcomes and patterns of failure in patients with metastatic carcinoma to cervical lymph nodes from an unknown head and neck primary origin, who were treated curatively with radiotherapy, with or without neck dissection. The study included OTHER_1 patients referred to the ORGANIZATION_1 University Hospital Centers from DATE_1 to DATE_2. The median age was AGE_1 years, with male to female ratio of NUMERIC_1:NUMERIC_2. Distribution of patients by N status was as follows: N1, OTHER_2 patients (NUMERIC_3%); N2a, OTHER_3 (NUMERIC_4%); N2b, OTHER_4 (NUMERIC_5%); N2c, NUMERIC_6 (OTHER_11%); and N3, NUMERIC_6 (OTHER_11%). OTHER_5 patients underwent neck dissection (OTHER_11 radical, NUMERIC_7 functional) and OTHER_6 patients had biopsy (NUMERIC_7 fine-needle aspiration and OTHER_7 excisional biopsy). All patients received radiotherapy. The median dose to the involved node(s) was OTHER_8 Gy, and OTHER_9 Gy to the rest of the neck. Treatment of the neck was bilateral in OTHER_10 patients (NUMERIC_8%) and ipsilateral in OTHER_11 (OTHER_3%). The minimum duration of the follow-up was TIME_1 months, with the median of OTHER_7 months. The NUMERIC_9- and OTHER_14 overall survival for the whole population was OTHER_12% and OTHER_13%, respectively. There was no statistically significant difference in the OTHER_14 actuarial overall survival (OTHER_15% and OTHER_16%, respectively, p = .OTHER_8) and local relapse-free survival (OTHER_17% vs OTHER_18%, respectively, p = .AGE_1), among patients who had biopsy versus those who had neck dissection."
pubmedqa_174,"As part of a prospective study on quality of life in newly diagnosed lung cancer patients an investigation was carried out to examine whether there were differences among patients' quality of life scores and their socioeconomic status. Quality of life was measured at NUMERIC_1 points in time (baseline and NUMERIC_2 months after initial treatment) using NUMERIC_2 standard instruments; the OTHER_1 Health Profile (NHP), the OTHER_2 Organization for Research and Cancer Treatment Quality of Life Questionnaire (OTHER_3 QLQ-C30) and its lung cancer supplement (QLQ-LC13). Socioeconomic status for each individual patient was derived using OTHER_4 and OTHER_5 Deprivation Category ranging from NUMERIC_1 (least deprived) to NUMERIC_2 (most deprived) on the basis of the postcode sector of their address. In all, OTHER_6 lung cancer patients entered into the study. Of these data for OTHER_7 patients were complete (at baseline and follow-up). OTHER_8% of patients were of lower socioeconomic status and they had more health problems, less functioning, and more symptoms as compared to affluent patients. Of these, physical mobility (P = NUMERIC_3), energy (P = NUMERIC_4), role functioning (P = NUMERIC_5), physical functioning (P = NUMERIC_6), and breathlessness (P = NUMERIC_7) were significant at baseline. However, at follow-up assessment there was no significant difference between patient groups nor did any consistent pattern emerge."
pubmedqa_371,"Neuromedin U (NmU) is a neuropeptide with anorexigenic activity. NUMERIC_1 receptor subtypes (NmUR1 and NmUR2) confer the effects of NmU on target cells. We have recently demonstrated that NmU reduces insulin secretion from isolated pancreatic islets. Aim of our current study is to investigate the role of somatostatin at mediating the effects of NmU on insulin secretion. Expression of NmU in the pancreas was detected by immunohistochemistry. Insulin and somatostatin secretion from in situ perfused rat pancreas and isolated pancreatic islets was measured by radioimmunoassay. The paracrine effects of somatostatin within pancreatic islets were blocked by cyclosomatostatin, a somatostatin receptor antagonist. Receptor subtype NmUR1, but not NmUR2, was expressed in the endocrine pancreas, predominantly in the periphery. Neuromedin U reduced insulin secretion from in situ perfused rat pancreas and stimulated somatostatin secretion from isolated pancreatic islets. Neuromedin U stimulated somatostatin secretion at both physiological and supraphysiological glucose concentrations. Cyclosomatostatin increased insulin secretion and reduced NmU-induced inhibition of insulin secretion."
